constant,value,units,tag,tier,form,block,band,errs,resolves_by,decided_by,precedent,supplied_by,default,superseded_by,note
AGE_GROUP_RANGES,<dict: 4 keys>,inclusive age bounds in years,convention,,"a partition of a continuum, chosen not found. The 2026-08-10 care measurement looked for natural breakpoints and there are none: care received per person declines SMOOTHLY through childhood (113.6 → 70.7 → 36.1 → 9.6 min/day over 0-4/5-9/10-14/15-19) with nothing happening at 5/6 or at 17/18. These bounds are administrative, and the model reads four steps off a smooth curve.",EOH generation — personal domain,,,,,,,,,"the bands are a REPORTING VIEW. Anything sensitive to where the cuts fall should integrate a demand curve over age instead — see reference/care_demand.py, which carries the curve these bands approximate."
AGE_GROUP_FRACTIONS,"{'infant': 0.07, 'child': 0.16, 'working_age': 0.6, 'elderly': 0.17}",fraction of population,instance,,,EOH generation — personal domain,,,,,,"your census age pyramid, grouped to AGE_GROUP_RANGES. Intake path: reference/data/census_age_2020_2025.csv ships the US reading by single year of age, and reference/care_demand.population_shares() groups any band structure against it. Nothing about YOUR population is derivable from this framework.","an OECD-shaped split that happens to fit the US around 2020 (measured 6.98/15.24/60.91/16.87 that year). By 2025 the US had moved to 6.5/14.5/60.0/18.9 — the elderly band is already 2pp off and rising, so the shipped default is a snapshot, not a standard. Swapping the 2025 reading in moves w by only +0.8%, because the weights dominate.",,
AGE_WEIGHT_WORKING_AGE,1.0,relative personal EOH (dimensionless),convention,,"the NUMERAIRE. Every other weight is expressed against a working-age adult, so this is 1.0 by definition and carries no evidential content — measuring it is not a coherent request.",EOH generation — personal domain,,,,,,,,,
AGE_WEIGHT_INFANT,3.0,relative personal EOH (dimensionless),bounded,B,"personal obligation generated per person of that age, relative to a working-age adult: (self-maintenance + care received) integrated over the band and divided by the numeraire band's total.",EOH generation — personal domain,"≥ 2.55, one-sided — and the openness is the whole point. Measured 2026-08-10 from ATUS 2021–25 pooled (scenario run care_curve), but ATUS surveys nobody under 15, so the self-maintenance term is missing for the ENTIRE infant band. The measurement is a FLOOR that can only rise, never a point estimate, and calling it a two-sided band would be a worse claim than leaving the constant a placeholder.","HIGH, and high is the safe direction, by the same asymmetric-loss argument that set PERSONAL_EOH_BASE. A weight set too low understates the obligation a dependent generates, and the deficit is paid in unserved care — the model reports feasible while a child goes unattended. Too high only over-provisions. The shipped 3.0 and 1.5 sit above their measured floors by 18% and 11%, which is the direction to be wrong in.","self-maintenance below age 15, which ATUS cannot observe because it does not survey children. A time-use survey covering children (some HETUS members do) would close the band from below and turn these into point estimates.",,,,,,
AGE_WEIGHT_CHILD,1.5,relative personal EOH (dimensionless),bounded,B,"as AGE_WEIGHT_INFANT — (self-maintenance + care received) over ages 6–17, relative to a working-age adult.",EOH generation — personal domain,"≥ 1.35, one-sided. Measured 2026-08-10 (ATUS 2021–25 pooled). The band is one-sided for the same reason as the infant weight, but LESS of this one is missing: ATUS observes ages 15–17, so the band's self-maintenance term is partly present (24.5 min/day measured across the band) rather than wholly absent.","HIGH, and high is the safe direction — a weight set too low understates the obligation a dependent generates and the deficit is paid in unserved care. The shipped 1.5 sits 11% above its measured floor.","self-maintenance for ages 6–14, which ATUS cannot observe. A time-use survey covering children would close the band from below.",,,,,,
AGE_WEIGHT_ELDERLY,1.48,relative personal EOH (dimensionless),measured,B,"as above — (self-maintenance + care received) over the 65+ band, relative to working age. The ONE band where both terms are measured: 207.1 min/day self-maintenance + 30.5 care = 237.5 against working age's 160.2, giving 1.4824, adopted at 1.48.",EOH generation — personal domain,,,"the INSTITUTIONAL population. ATUS covers households only, so the institutionalised elderly — who need the most care — are outside the frame entirely, and 1.48 is a lower bound for the elderly population as a whole. CMS Payroll-Based Journal reports nurse staffing hours per resident-day for every certified US nursing home and would close it. Recipient-side ACTIVITY monitoring would NOT: datasets of that class (TIHM was checked) record the monitored person's own movement and physiology rather than anyone's care hours, and are home-based cohorts, so they re-measure the population ATUS already covers.",,,,,,"measured 2026-08-10 from ATUS 2021–25 pooled with Census 2025 denominators (scenario run care_curve), replacing a shipped 2.5 that was asserted. Bound to the measurement by test rather than by expression — data.py sits below reference/ and cannot import it — so test_the_elderly_weight_was_adopted_from_this_measurement fails if either side moves alone. Tier B, not A: a large national survey, but with a named systematic exclusion, below."
AGE_GROUPS,<dict: 4 keys>,"composite of AGE_GROUP_RANGES, AGE_GROUP_FRACTIONS and the AGE_WEIGHT_* constants",derived,,"assembled from the four constants above, which is the point — this dict was ONE constant carrying FOUR different epistemic states (a chosen partition, jurisdiction data, a numeraire, and two grades of measurement) under a single `placeholder` tag, so the tag necessarily read the weakest element and told a reader nothing about any of the others.",EOH generation — personal domain,,,,,,,,,"retained as the public shape because ~70 call sites read it, and the split is additive: the assembled value is byte-identical to what the hand-written dict held. New code should prefer the specific constant it actually needs — a caller wanting the population split should read AGE_GROUP_FRACTIONS and see the `instance` tag telling them to supply their own."
ASSET_TYPES,<dict: 6 keys>,maint_rate fraction of capital/yr; threshold_age years; compound_exp dimensionless,placeholder,,"physics — post-threshold maintenance escalates as a power law rather than linearly, and the ORDERING across asset classes (software fastest to fail, stone slowest) is a defensible engineering claim. The exponents are not.",Capital and asset lifecycle,,,measured maintenance and failure curves by asset class. The infrastructure floor shows the route — a physical condition census in crew-hours rather than money (INFRA_TREATMENT_HOURS_*). Design lives here are order-of-magnitude right; nothing measures the compounding exponents.,,,,,,
ASSET_FULL_NEGLECT_DECAY,0.2,fraction of condition per period,placeholder,,"the two arms of the maintenance response in core/capital.asset_condition. Under-maintenance: condition *= (1 − deficit_fraction × NEGLECT_DECAY), so NEGLECT_DECAY is the drop at TOTAL neglect. Over-maintenance: condition += surplus × RESTORE_RATE × condition, bounded by the initial condition — you may not build a better asset by polishing it.",Capital and asset lifecycle,,,"an infrastructure condition-rating panel with maintenance spending per asset — FHWA NBI bridge condition ratings carry exactly this (condition rating 0–9 by structure by year, against reported maintenance expenditure). FIELD: the year-on-year rating change for structures at zero-versus-adequate maintenance. NOT the ASCE report-card grades, which are an aggregate letter and cannot resolve a per-period rate.",,,,,,"THE ASYMMETRY IS THE CLAIM AND IT IS THE DEFENSIBLE PART — neglect costs 4x what surplus effort recovers, which is the entropy argument applied to one asset: degradation is spontaneous and repair is not. The LEVELS are desk estimates. Migrated from core/capital.py 2026-08-27, where both were shadow constants and a +7% move failed no test."
ASSET_OVER_MAINT_RESTORE_RATE,0.05,fraction of condition per period,placeholder,,"the over-maintenance arm of the same response — condition += surplus × RESTORE_RATE × condition, bounded above by the initial condition. See ASSET_FULL_NEGLECT_DECAY for the pair and for why the 4x asymmetry between them is the defensible part.",Capital and asset lifecycle,,,"as for ASSET_FULL_NEGLECT_DECAY — FHWA NBI condition ratings against maintenance expenditure. FIELD: the rating change for structures maintained ABOVE their assessed need, which is the rarer half of that panel and the reason this arm is the weaker of the two.",,,,,,
